Stimulus,Stimulus_Duration,RT
1_1,3475,476
1_3,4712,299
1_4,2178,356
1_6,3308,344
1_7,2865,563
10_10,4471,371
10_13,3775,348
10_14,4337,272
10_15,2873,255
10_16,3226,320
10_17,4359,427
10_18,4358,392
10_19,3840,254
10_2,3153,272
10_20,3380,419
10_3,2212,278
10_5,2071,267
10_6,5267,216
10_7,2683,395
11_1,1336,616
11_10,7105,282
11_4,5492,254
11_6,2474,348
11_8,1589,432
12_2,4011,431
12_5,2573,374
12_6,4146,307
12_7,1232,430
13_1,1494,288
13_2,1562,476
13_4,5236,314
13_5,6550,308
14_1,1752,294
14_2,2623,450
14_4,4731,451
14_6,6203,594
15_10,3136,336
15_7,5441,236
15_8,3556,473
16_1,1379,283
16_2,2008,254
16_3,4363,566
16_4,3028,324
16_5,5169,318
16_6,3163,260
2_1,2956,346
2_10,2439,406
2_2,5407,364
2_6,1439,509
2_7,2298,443
3_2,1622,368
3_3,3426,278
3_4,6159,415
3_5,1391,326
3_7,3204,405
3_8,1952,287
3_9,1757,635
4_3,2779,343
4_5,1926,492
4_8,3002,243
4_9,2692,298
5_10,4158,280
5_3,1227,362
5_4,3623,398
5_5,1913,445
5_7,3136,502
5_8,2824,323
6_11,3714,325
6_14,4003,503
6_15,5391,429
6_16,863,465
6_19,2285,337
6_6,4008,303
6_7,1149,452
6_9,5521,639
7_1,3214,335
7_10,4856,389
7_14,3319,461
7_6,2576,324
8_10,4790,226
8_11,1444,337
8_12,1726,478
8_14,2747,279
8_15,3435,255
8_20,2566,275
8_23,1149,499
8_24,2438,462
8_25,4404,228
8_29,1999,340
8_30,3113,273
8_32,2840,561
8_5,1082,358
8_8,1544,359
8_9,2431,389
9_10,3062,413
9_4,2104,432
9_5,1225,360
9_6,2267,373
9_7,3437,305
